feature,question,rel_question,labels
Starting nursery Newton British School or Sherborne...,We might be moving to Qatar next year; and I was wondering; I would like to have my kids in a nursery; can they start in the middle of the year; or do they have to wait until august?,Hi everybody; I'm moving to Qatar in the Summer as my Husband starts a job with Qatar Airways. I'm frantically trying to secure a school place which isn't easy. Does anybody know much about Newton British School or Sherborne ? or any good school that i will be able to get a place for; reception; year 2; year 3 for September. Any help will be greatly received; Many thanks Sarah XX,PerfectMatch
okay seriously; is there school tommorow? Park House School,everyone is sayin differen things; something about swine flu.. when will we find out?,Does anyone out there have a child in this school? We are moving out next month and have a place at Park House for our 7yrs son. What is it like. Feedback please!!!!,Irrelevant
okay seriously; is there school tommorow? Child dies in School bus in DPS,everyone is sayin differen things; something about swine flu.. when will we find out?,Today children returned late from School (DPS -MIS);the reason being a child was found dead in the school bus. From what I heard; the child dozed off in the bus during her morning trip. The driver did not notice and the child was left in the bus. They found her in the afternoon ;it should have been the heat in the bus that killed her. She was just 4 years old. Did anyone hear about this ?,Irrelevant
okay seriously; is there school tommorow? International School of London in doha?,everyone is sayin differen things; something about swine flu.. when will we find out?,there was an article in da paper about a new school opening named ISL (International School Of London) in Duhail area.åÊ Does anyone know how good dis school is ??,Irrelevant
okay seriously; is there school tommorow? How is Education at MES School Qatar,everyone is sayin differen things; something about swine flu.. when will we find out?,How is Education at MES School Qatar? I was planning to get my kids admission in this school. Appreciate if you could comment; recommend other school at Par. Thanks.,Irrelevant
okay seriously; is there school tommorow? Who should I call? my dad beat me up,everyone is sayin differen things; something about swine flu.. when will we find out?,I need help; I'm very depressed right now :( He beat me up; punch me and kick me.,Irrelevant
okay seriously; is there school tommorow? long drives?,everyone is sayin differen things; something about swine flu.. when will we find out?,being in doha; which side one should go for long drives (with good roads; less cameras and no police åÊ?,Irrelevant
okay seriously; is there school tommorow? International School of London,everyone is sayin differen things; something about swine flu.. when will we find out?,Comments anyone?,Irrelevant
okay seriously; is there school tommorow? new branch for Newton british school??,everyone is sayin differen things; something about swine flu.. when will we find out?,Anyone aware of this? I see on the Sportscity road (close to Villaggio) a construction site with a banner Newton British school; that recently appeared. Still under construction; but wondering??,Irrelevant
okay seriously; is there school tommorow? Big-time doubt-Ladies only!,everyone is sayin differen things; something about swine flu.. when will we find out?,okay girls....this is a doubt that has been bugging me since quite some time.i've been using this particular shampoo since a few months.it promises to give health and shine to hair.but there are other shampoos which give bounce;strength;volume;etc.is it okay if i mix a couple of shampoos and use?i asked one of my friends and she says it's not advisable.... what do y'all think?,Irrelevant
okay seriously; is there school tommorow? Favourite Dish/Favourite Restaurant,everyone is sayin differen things; something about swine flu.. when will we find out?,Hi QLers; Weekend is round the corner. Let's try something new. What is your favourite dish from which restaurant in Qatar?,Irrelevant
Which rental car company is best for price? Absolutely cheapest car rental company?,I'm looking for a small car and I accept limited mileage.,I'm sorry; I know this has been asked before a thousand times. The problem is most of the threads are 4 years old. What is the absolutely cheapest car available for rent through a reputable company? (I'm not interested in renting from anyone's friend; thanks!),PerfectMatch
Which rental car company is best for price? Car rental prices in Doha,I'm looking for a small car and I accept limited mileage.,Looking to rent some cars long-term (at least 6 months) from a reputable rental company in Doha. Currently our company is using Al Muftah and I can&#39;t believe how they tout their ISO certification given the poor service and lack of coordination they offer. Looking for Honda Civic; Mazda 3; Chevy Optra; etc. type sedan/saloon cars. What&#39;s your company and what is your pricing for these types of rentals? Thanks!,PerfectMatch
Which rental car company is best for price? Recommendations for car hire in Doha,I'm looking for a small car and I accept limited mileage.,Soon to move to Doha and will need transport when I get there. Do any of you have reliable recommendations for vehicle hire companies? I shall be looking for a reasonable size vehicle; SUV / MPV. Regards Al,PerfectMatch
Which rental car company is best for price? DOHA CARS,I'm looking for a small car and I accept limited mileage.,Hi all; here to discuss the cars prices in Qatar and the best auto deal. What is the best car to drive in Doha? Monthly payment? Leasing?... All advices for cars in DOHA! Post some websites for Used Cars and brand new cars? What is the most reliable agent in Doha? Simply WHAT CAR TO BUY ?,PerfectMatch
Which rental car company is best for price? QR1;500/month Car Rental???,I'm looking for a small car and I accept limited mileage.,G'day all; A mate of mine was renting a car for QR1;500/month !!!; just wondering if any one knows or has a contact for such? Unfortunately my mate left last month and I lost his email address in between; hence I am unable to ask him direct. Cheers; Don,Relevant
Which rental car company is best for price? What are the rental prices of cars; what's the cheapest,I'm looking for a small car and I accept limited mileage.,My company is providing an allowance for transport; what is the average rental prices for cars; what are the cheapest options. Any good websitesto look at? Many thanks!,PerfectMatch
Which rental car company is best for price? Renting a bus for sight-seeing,I'm looking for a small car and I accept limited mileage.,I'm organizing a one day trip in QataråÊfor friends.åÊ I need a bus to travel with them.åÊ Toyota Coaster is a nice-sized bus.åÊ Where can I rent a bus?,Irrelevant
Which rental car company is best for price? where can i get a cheap rental car?,I'm looking for a small car and I accept limited mileage.,I would like to rent a car with cheap price lower than 1000QR. could anybody advise? i'm living in the airport area.,PerfectMatch
Which rental car company is best for price? Car Insurance costs??,I'm looking for a small car and I accept limited mileage.,Hi all; What is the average cost for a full coverage car insurance per month? Thanks,Irrelevant
Which rental car company is best for price? Need some help,I'm looking for a small car and I accept limited mileage.,HELLO EVERYONE I AM OFFERED AS A CIVIL ENGINNER 14000 QR SALARY 8000 QR HOUSE ALLOWNCE 1500 QR CAR ALLOWANCE I PLAN TO RELOCATE WITH MY WIFE. SHOULD WE PROCEED? MY WIFE WILL NOT WORK. CAN WE AFFORD THE COST OF LIVING?,Irrelevant
meeting expat young people Any Young Expats in Doha?,where is the best place to meet european-australian-american expats between 25-35 years old in doha?,Hi all; I am a 25yr old male moving from UK to Doha. I have no knowledge of Doha; and i am trying to find out whether there are many young expats there; and what i can expect from a social life out there. I appreciate many families move out to Doha; but my concern is whether there are many young expats like myself? Are there any social groups to join; or clubs etc? Any help or advice would be greatly appreciated. Dan,PerfectMatch
meeting expat young people Tired of being single and alone in Doha,where is the best place to meet european-australian-american expats between 25-35 years old in doha?,I'm tired of being single and alone in Doha. I'm tired of hearing that Doha is a family place. I'm tired of being surrounded by couples and families. I'm really tired of it all. Where are the singles in Doha? I really could do with some single people to go out with from time to time.,Irrelevant
meeting expat young people Qatari's attitude towards Expat Women & Why?,where is the best place to meet european-australian-american expats between 25-35 years old in doha?,Iam here in qatar for about 6 &1/2 years. Many people have said to me that they are happy about the Qatari youngsters attitiude towards the women because these guys are not starring at our wives & daughters in a bad sense like we experience in our countries. Do you think it is right? if YES/NO then why?,Relevant
meeting expat young people Young children & Autistic Spectrum Disorder,where is the best place to meet european-australian-american expats between 25-35 years old in doha?,We are thinking of moving to Doha next year. I'm due my second baby in March. My first son is 3 and is currently being assessed for Autism; with which he has a speech delay. 2 questions... 1. What are the baby shops and childrens facilities like is Doha? I presume you can get most things there. 2. Are there; and can you recommend a health facility that would be suitable for my son to continue his speech therapy and ASD assessments? Many thanks!,Irrelevant
meeting expat young people How much disposable income do I need?.,where is the best place to meet european-australian-american expats between 25-35 years old in doha?,I have been offered a teaching post in Doha. An apartment will be provided along with medical cover and a few other benefits such as travel to work each day. I have been offered 8500 QAR per month; which is around å£1400 per month. This is a huge pay cut for me. After my UK expenses I'm left with just over å£200 of 1500 QAR per month. Will this be enough to live on?,Irrelevant
meeting expat young people How do I get my girlfriend into Qatar?,where is the best place to meet european-australian-american expats between 25-35 years old in doha?,Hi Everyone; I'm currently negotiating a position - I have been told they will only include my partner in the package if we are married. (This isn't an option at this stage) I would like her to have the option to be able to live with me in Doha. Whether its permanent or not is another issue. Any advice on how I can make this happen? Appreciate all your help.,Irrelevant
meeting expat young people Stay at home moms,where is the best place to meet european-australian-american expats between 25-35 years old in doha?,Hey there.. I had a work vs stay at home dilemma that ended up staying at home as a final decision as my son is only 4.5 months old and maybe will go back to work once he is older. Are there any other girls that stay at home? Would like to meet all of you!! Where are you from? How old are you? Do you have kids? How many? Their age? How long have u been in Doha? What do you do to keep urself busy and entertained? Any special place you go to often?,Irrelevant
meeting expat young people Arrested in Ramada Car Park,where is the best place to meet european-australian-american expats between 25-35 years old in doha?,A word of warning people - a young British guy and his British girlfriend were leaving the Ramada on Thursday night; they were holding hands and kissed goodnight. They were promptly arrested and spent the night in jail. Don't know if they're out yet or not. Now I don't know what type of kiss it was - peck on the cheek; lingering; full-on tonsil tugging; whatever - BUT just be careful out there; OK?,Irrelevant
meeting expat young people What do you think of Qataris?,where is the best place to meet european-australian-american expats between 25-35 years old in doha?,hey guys hello im new to this forum and i just want to start a good topic as most of you here are ex patriates i want to ask what you think about Qataris as a whole group please be sincere but not offensive and thank you,Irrelevant
meeting expat young people Qatarization,where is the best place to meet european-australian-american expats between 25-35 years old in doha?,I have just been informed by my HR department that all 'secretarial' positions now must be Qatarized. Can some one confirm this please ?,Irrelevant
my-gym Gyms in Doha,i have been told that franchisee of my-gym ;is in doha. anybody know about their preshchool,I&#39;m moving to Doha soon; for five months initially; though it&#39;s possible I may settle long-term. I&#39;d like some advice on any good gyms in Doha. I can&#39;t seem to get any comprehensive information on the net. I&#39;d like a pool; sauna; gym; and a climbing wall would be a big plus. Any ideas or recommendations. How much would it cost? Thanks for any help you can give me.,Relevant
my-gym Are there any 24 hour gyms in Qatar?,i have been told that franchisee of my-gym ;is in doha. anybody know about their preshchool,I am thinking of changing gyms when I go back this time; but I wanna train early in the morning as opposed to regular hours when they are crowded; anyone know of any 24 hour gyms in Qatar? I doubt they exist knowing Qatar...,Relevant
"my-gym ""Fitness First",i have been told that franchisee of my-gym ;is in doha. anybody know about their preshchool,"Sigh - what a disappointment. Even the classes are separated so you gotta look our for """"female only"""" spin or whatever. Also; the male workout area is big and spacious and nice... female workout area - small and enclosed and limited :( I'm losing my gym motivation! Any experiences with other gyms or other workout groups etc?""",Relevant
my-gym Eating/Drinking in private compound??,i have been told that franchisee of my-gym ;is in doha. anybody know about their preshchool,Can I eat and drink by my pool in my compound? Or is this not a good idea??,Irrelevant
my-gym Bodybuilding&Fitness Food Supplements,i have been told that franchisee of my-gym ;is in doha. anybody know about their preshchool,Hi Everybody.!! Can anyone advice me with a info please? Am new in Qatar;planning to start my Gym classes-Bodybuilding and searching for a Bodybuilding&Fitness Sport Shop;urgently looking for a food supplements like Amino Acids;Proteins and this kinda stuff. Do anyone know if there is a Sport supplements shops in Qatar.? Thanks to everyone!!!!!,Irrelevant
my-gym Weekend!!!! :D,i have been told that franchisee of my-gym ;is in doha. anybody know about their preshchool,Hi guyzzz (both) Weekend weekend....i'm here in PP about to go for a movie. What about u guy in doha any plan?? ;),Irrelevant
my-gym what is the best gym???,i have been told that franchisee of my-gym ;is in doha. anybody know about their preshchool,what is the best gym and where is the location and how much it cost in one month ???,Irrelevant
my-gym BOXING FITNESS GYM,i have been told that franchisee of my-gym ;is in doha. anybody know about their preshchool,Does anyone knows a boxing gym here in qatar? Im thinking of doing sports that just running on a treadmill to lose weight.. And I NEED to lose weight.. I was diagnosed of Polycystic Ovaries and first intervention is to trim myself down.. If anyone of you knows a fitness gym here that offers Boxing please tell me. that would be a great help..Thanks!,Irrelevant
my-gym Gym on D-Ring that allows women,i have been told that franchisee of my-gym ;is in doha. anybody know about their preshchool,Ok; since it appears that Gold's Gym only caters to desperate housewives (i.e. women are only allowed from 7 am till 12 pm; I mean WTF? Sorry I'm at work) Are there any other gyms that cater to women on D-Ring; or are we just expected to sit at home and pop out babies?,Irrelevant
my-gym Contour Express - New Ladies only Gym,i have been told that franchisee of my-gym ;is in doha. anybody know about their preshchool,Good news Ladies! - Contour Express is a ladies only Gym they are now open in Qatar; in Dafna Free open house from 4th to 12th February... Call 4980099 and register your place for Open house I am going on Saturday evening...who wanna join me?? http://www.joincontoursexpress.com/index.html,Relevant
Beauty Salon How to open a beauty salon,Pls recomend a good ladies beauty salon;; in doha.how is salon in Lulu hyper market?? I need a place for a clean up and for a hair cut.,I would like to open a beauty salon in doha. Could you help me please ? Is it possible to find a agency who can set up everything for you (all administrative papers) ? How much you need to set up the company ? I can t find a serious real estate here who can show you villas or shops. They promise to call you back but nothing. Is there a company who can provide you the staff ? Is there a list of sponsors ? Thank you for your response.,Irrelevant
Beauty Salon Diamond Beauty Salon near Landmark Mall,Pls recomend a good ladies beauty salon;; in doha.how is salon in Lulu hyper market?? I need a place for a clean up and for a hair cut.,Hello evrybody; How are u doing?? Al of u coming on friday??? I was just wondering... Has anybody heard of the Diamond Beauty Salon? It is near Landmark Mall. If so; can you please tell me what the experiance is (is it any good?)and how much it costs? Thanks a lot for your help. Greetz J. :):):),Relevant
Beauty Salon Ladies Beauty Salon,Pls recomend a good ladies beauty salon;; in doha.how is salon in Lulu hyper market?? I need a place for a clean up and for a hair cut.,can someone please recommed a good place where i can do my eyebrows>? i used to go to London Beauty salon but unfortunately the sri lankan lady is on vacation ; i tried al-mashata and they ruined my eyebrows leaving patches; please can someone recommend a good salon with lady who can actually do a good job,Relevant
Beauty Salon Best Beauty Salon in Doha at reasonable price,Pls recomend a good ladies beauty salon;; in doha.how is salon in Lulu hyper market?? I need a place for a clean up and for a hair cut.,Hello evryone; i just had my haircut done at a beauty salon; and it was a disaster.;. i badly need a fix; can anyone recommend a good salon at reasnable price pls?.. thanks,PerfectMatch
Beauty Salon Beauty Parlours in Doha,Pls recomend a good ladies beauty salon;; in doha.how is salon in Lulu hyper market?? I need a place for a clean up and for a hair cut.,Hi all; åÊAre there good beauty parlours/salons for women in doha??do they offer hair treatments like straightening and perming??are they costly or reasonably priced???,PerfectMatch
Beauty Salon Hair Salon in Doha,Pls recomend a good ladies beauty salon;; in doha.how is salon in Lulu hyper market?? I need a place for a clean up and for a hair cut.,Can any girls recommend a good hair salon / hairdress in Doha? And what should one expect to pay...,PerfectMatch
Beauty Salon Hairdressers,Pls recomend a good ladies beauty salon;; in doha.how is salon in Lulu hyper market?? I need a place for a clean up and for a hair cut.,Sorry for the girly nature of this question; but I'm desperate. Ladies; can you recommend a decent hairdresser in Doha? I've been here several months and all I've heard are horror stories. Any suggestions would be gratefully received; my hair is getting so long I'm starting to look like 'Cousin It' from the Addams Family.,PerfectMatch
Beauty Salon Pedicure in City Centre,Pls recomend a good ladies beauty salon;; in doha.how is salon in Lulu hyper market?? I need a place for a clean up and for a hair cut.,Is there anywhere in City Centre that does Pedicures???,Relevant
Beauty Salon Tipping Beauty Salon,Pls recomend a good ladies beauty salon;; in doha.how is salon in Lulu hyper market?? I need a place for a clean up and for a hair cut.,What do you think how much i should tip the stuff in a beauty salon for manicure/pedicure; massage or haircut?? Any idea what is required in Qatar?,Relevant
Beauty Salon do you know a salon anywhere in doha where hair stylists are filipina?,Pls recomend a good ladies beauty salon;; in doha.how is salon in Lulu hyper market?? I need a place for a clean up and for a hair cut.,filipina hair stylist,Relevant
Can i work in qatar under my fathers sponsorship? Father and mother are on work visa; how about the baby then?,i want to work in qatar for few months and then i may go outside qatar for my further studies ..........i applied here in some companies but they will give me job only if i change my sponsor............................ is dere any solution fo this,My wife and myself are on work visa. My wife is expecting now. Will there be any visa issues for the baby? What visa would the baby be?,Irrelevant
Can i work in qatar under my fathers sponsorship? Can i deliver a baby in qatar under father's sponsership?,i want to work in qatar for few months and then i may go outside qatar for my further studies ..........i applied here in some companies but they will give me job only if i change my sponsor............................ is dere any solution fo this,im married & i have my marriage certificate.will there be any problems??,Irrelevant
Can i work in qatar under my fathers sponsorship? Which Visa is better for my wife?,i want to work in qatar for few months and then i may go outside qatar for my further studies ..........i applied here in some companies but they will give me job only if i change my sponsor............................ is dere any solution fo this,Can anyone plz tel me; which visa is better for my wife? She got a job here and they can provide visa. But i'm bit confused. So tel me which visa is better; under my sponsorship or her company sponsorship?,Irrelevant
Can i work in qatar under my fathers sponsorship? Visa Transfer,i want to work in qatar for few months and then i may go outside qatar for my further studies ..........i applied here in some companies but they will give me job only if i change my sponsor............................ is dere any solution fo this,I applied for Visa transfer ( Change of sponsorship ) more than 2 months back and the application is still under process. Any thoughts why it is taking so much time ? Is it normal to take such a long time ? Thank you for your help,Relevant
Can i work in qatar under my fathers sponsorship? Exit Permit while Sponsor outside Qatar?,i want to work in qatar for few months and then i may go outside qatar for my further studies ..........i applied here in some companies but they will give me job only if i change my sponsor............................ is dere any solution fo this,Dear Friends; My son; who is working here on my sponsorship; will be in Doha while I would be outside Qatar on my leave. My question is: Can I get my sonÛªs Exit Permit NOW having advance dates and proceed to my vacations? I am confused that while mine being outside Qatar; my son may have problem getting outside Qatar; during my leave time?,Relevant
Can i work in qatar under my fathers sponsorship? Visa cancellation without passport,i want to work in qatar for few months and then i may go outside qatar for my further studies ..........i applied here in some companies but they will give me job only if i change my sponsor............................ is dere any solution fo this,Can my sponsor cancel my visa even without my passport? Thank you guys...,Irrelevant
Can i work in qatar under my fathers sponsorship? Can a Lady get Liquor License?,i want to work in qatar for few months and then i may go outside qatar for my further studies ..........i applied here in some companies but they will give me job only if i change my sponsor............................ is dere any solution fo this,Quick question: Can a lady who is under her fathers sponsorship get a liquor license? She is working and meets the salary requirements and not muslim; any clues anyone? If yes what are the procedures? same as men? if NO then have a good day visit again ;) lol,Irrelevant
Can i work in qatar under my fathers sponsorship? How to get license for liquor?,i want to work in qatar for few months and then i may go outside qatar for my further studies ..........i applied here in some companies but they will give me job only if i change my sponsor............................ is dere any solution fo this,Can anyone tell me what are the necessary requirements or papers needed to get a license for liquor?,Irrelevant
Can i work in qatar under my fathers sponsorship? Transfer to Husband Sponsorship,i want to work in qatar for few months and then i may go outside qatar for my further studies ..........i applied here in some companies but they will give me job only if i change my sponsor............................ is dere any solution fo this,Can anyone advise me what to do? I want to transfer to my husband's sponsorship. Problem is; he is just earning QR6K a month. My present company will provide me the NOC. I already received some job offers but they are looking for someone under husband sponsorship. Would appreciate your immediate response.,Irrelevant
Which car would you recommend? and what options are there? DOHA CARS,I'm actually trying arrange a car; and need your advice on which car you consider safe and strong enough but still economically acceptable (affordable safety); also I shouldn't worry too much about regular maintenance and replacing parts and stuff like that? What options are there: rent; buy; by second hand... and which options would you recommend. I wouldn't buy with an interest bearing loan. Thank you,Hi all; here to discuss the cars prices in Qatar and the best auto deal. What is the best car to drive in Doha? Monthly payment? Leasing?... All advices for cars in DOHA! Post some websites for Used Cars and brand new cars? What is the most reliable agent in Doha? Simply WHAT CAR TO BUY ?,PerfectMatch
Which car would you recommend? and what options are there? Any good place for Car AC checking / Cleaning / Service ??,I'm actually trying arrange a car; and need your advice on which car you consider safe and strong enough but still economically acceptable (affordable safety); also I shouldn't worry too much about regular maintenance and replacing parts and stuff like that? What options are there: rent; buy; by second hand... and which options would you recommend. I wouldn't buy with an interest bearing loan. Thank you,Any good place for Car AC checking / Cleaning / Service ?? My AC is working fine but look like its not cooling much during the day time ( I know during the day it will take time for cooling and its less than evening time but I have seen other cars AC are much better than mine :( Car: Nissan xTerra,Irrelevant
Which car would you recommend? and what options are there? Looking for a good garage,I'm actually trying arrange a car; and need your advice on which car you consider safe and strong enough but still economically acceptable (affordable safety); also I shouldn't worry too much about regular maintenance and replacing parts and stuff like that? What options are there: rent; buy; by second hand... and which options would you recommend. I wouldn't buy with an interest bearing loan. Thank you,I am looking for a good garage to change my engine oil seal as it was reported by one of the mechanic during vehicle servicing that the oil seal is slight broken and little oil is leaking and recommended me to change it. But i have no idea where can i take my car for this as one of the mechanic said it will take whole day. Can some1 suggest a good garage for Mitsubishi lancer on whom i can rely ?,Irrelevant
Which car would you recommend? and what options are there? Renault Duster 2013 - Please advice,I'm actually trying arrange a car; and need your advice on which car you consider safe and strong enough but still economically acceptable (affordable safety); also I shouldn't worry too much about regular maintenance and replacing parts and stuff like that? What options are there: rent; buy; by second hand... and which options would you recommend. I wouldn't buy with an interest bearing loan. Thank you,Is there anybody using Renault Duster? If yes then please share the experience about that; i mean about the performance & maintenance cost.,Relevant
Which car would you recommend? and what options are there? Mums - what car are you driving?,I'm actually trying arrange a car; and need your advice on which car you consider safe and strong enough but still economically acceptable (affordable safety); also I shouldn't worry too much about regular maintenance and replacing parts and stuff like that? What options are there: rent; buy; by second hand... and which options would you recommend. I wouldn't buy with an interest bearing loan. Thank you,I'd like is a smallish 4x4 with good safety features; easy to drive and easy to park. I test drove a few cars and I still can't decide. It's doing my head in. Any recommendations please?,Relevant
Which car would you recommend? and what options are there? Used Cars,I'm actually trying arrange a car; and need your advice on which car you consider safe and strong enough but still economically acceptable (affordable safety); also I shouldn't worry too much about regular maintenance and replacing parts and stuff like that? What options are there: rent; buy; by second hand... and which options would you recommend. I wouldn't buy with an interest bearing loan. Thank you,I'm flying out to Doha on Saturday to start a new job as a instructor at the aeronautical college does anyone now of any websites of used car dealers. I cant seem to find any? Many thanks for all your help,Relevant
Which car would you recommend? and what options are there? Book Store,I'm actually trying arrange a car; and need your advice on which car you consider safe and strong enough but still economically acceptable (affordable safety); also I shouldn't worry too much about regular maintenance and replacing parts and stuff like that? What options are there: rent; buy; by second hand... and which options would you recommend. I wouldn't buy with an interest bearing loan. Thank you,Does any one know about any big book store near Family Food center Airport Road from where I can get some books and novels?,Irrelevant
Which car would you recommend? and what options are there? Car Leasing,I'm actually trying arrange a car; and need your advice on which car you consider safe and strong enough but still economically acceptable (affordable safety); also I shouldn't worry too much about regular maintenance and replacing parts and stuff like that? What options are there: rent; buy; by second hand... and which options would you recommend. I wouldn't buy with an interest bearing loan. Thank you,Morning All; Moving to Doha this month (May) and am looking to find a reliable care leasing company. Any recommendations? thanks,Relevant
Which car would you recommend? and what options are there? Best Credit Card in Doha,I'm actually trying arrange a car; and need your advice on which car you consider safe and strong enough but still economically acceptable (affordable safety); also I shouldn't worry too much about regular maintenance and replacing parts and stuff like that? What options are there: rent; buy; by second hand... and which options would you recommend. I wouldn't buy with an interest bearing loan. Thank you,I would like to apply for a credit card that gives me Points when i spend and not just a simple card that does not get me anything in return for using it... Which card would you recommend gives the most reward for using the card and which card should i stay away from?? (PS I understand that i would either need to shift my salary to the bank or put a deposit of some sort...) thanks!!,Irrelevant
Which car would you recommend? and what options are there? Things to check before buying used car,I'm actually trying arrange a car; and need your advice on which car you consider safe and strong enough but still economically acceptable (affordable safety); also I shouldn't worry too much about regular maintenance and replacing parts and stuff like that? What options are there: rent; buy; by second hand... and which options would you recommend. I wouldn't buy with an interest bearing loan. Thank you,Hello Friends; I am planning to buy a used car. I do not have experience as what to check before buying a car. Can you please advise what things I am supposed to check before buying the car and how to make sure the engine condition? Thank you very much for your advise.,Relevant
urgent plz: is this a good offer? Offer of 5500 QR per month as a translator; is it good?? Plz respond; it's URGENT!,my offer is basic salry 1500 usd; a car and the housing are on the own of te company (not shared housing).The job is a kind of management position; nationality lebanese. Thx by advance to all,-Basic salary: 5500 QR -Acoomodation: Company provided -Transport: Company provided -1 flight ticket a year to point of origing -Medical Insurance -21 days paid holiday a year. -Overtime pay. --------------------- I am single and fresh graduate. Will I be,Relevant
urgent plz: is this a good offer? branch manager urgent plz,my offer is basic salry 1500 usd; a car and the housing are on the own of te company (not shared housing).The job is a kind of management position; nationality lebanese. Thx by advance to all,WHAT IS A NORMAL PACKAGE FOR AN ISLAMIC BANK MANAGER WITH 7 YEARS EXPERIENCE AND MBA ???? please reply,Relevant
urgent plz: is this a good offer? your favorite travel agent?,my offer is basic salry 1500 usd; a car and the housing are on the own of te company (not shared housing).The job is a kind of management position; nationality lebanese. Thx by advance to all,greetings for an amazing day..... :) could u plz tell me about ur choice of travel agency? and y? heard of alqyed travels?.......plz comment about service and customer satisfaction......heard they are good with their service and have got some well experienced staff. thank u for ur time good day,Irrelevant
urgent plz: is this a good offer? Is Blackberry available in Doha?,my offer is basic salry 1500 usd; a car and the housing are on the own of te company (not shared housing).The job is a kind of management position; nationality lebanese. Thx by advance to all,I wanted to buy a new mobile phone/PDA and wondering whether there's a shop in Doha selling Blackberry? Update : Blackberry now available in Qatar and Price of Blackberry Phones in Qatar on Q-Tel,Irrelevant
urgent plz: is this a good offer? Senior Project Manager - Help?,my offer is basic salry 1500 usd; a car and the housing are on the own of te company (not shared housing).The job is a kind of management position; nationality lebanese. Thx by advance to all,Hi guys; I'm hoping that somebody can give me some advice. My husband is in talks with a company about a Senior Project Manager role. The sector is construction. We literally have no idea what we should be asking for regarding salary; housing etc. Could anybody help us and give us a few ideas? Many thanks x,Irrelevant
urgent plz: is this a good offer? hypnosis,my offer is basic salry 1500 usd; a car and the housing are on the own of te company (not shared housing).The job is a kind of management position; nationality lebanese. Thx by advance to all,Does anyone know where can I do hypnosis here in Doha ??????,Irrelevant
urgent plz: is this a good offer? Hair dresser for men,my offer is basic salry 1500 usd; a car and the housing are on the own of te company (not shared housing).The job is a kind of management position; nationality lebanese. Thx by advance to all,I have been here since November and not managed to get a decent haircut yet! Any recommendations?,Irrelevant
urgent plz: is this a good offer? Abu Dhabi Vs Doha,my offer is basic salry 1500 usd; a car and the housing are on the own of te company (not shared housing).The job is a kind of management position; nationality lebanese. Thx by advance to all,Hi All; I have this posted in another forum; but thought of posting it here again; so sorry for the repetition. I'm currently working in Abu Dhabi for 18;500. I got an offer in a well reputed organization in Doha for 21;000. Is it worth the move? What concerns me the most is the cost of housing. How much would I pay for a descent 1 bedroom ? I have few days to think about this offer; so I do appreciate all your feedback.,Relevant
urgent plz: is this a good offer? moroccan waiting for visa with qatar airways,my offer is basic salry 1500 usd; a car and the housing are on the own of te company (not shared housing).The job is a kind of management position; nationality lebanese. Thx by advance to all,hello every one; i open this forum for moroccans who are waiting for thier visa after signing the offer letter ; and to know the last news ; thanks to share with us your information. for me i signed mine last fifteen of november and i do have to wait ; any one have the same situation?,Irrelevant
urgent plz: is this a good offer? is Carrefour Selling fake product..?,my offer is basic salry 1500 usd; a car and the housing are on the own of te company (not shared housing).The job is a kind of management position; nationality lebanese. Thx by advance to all,Yesterday night I brought some tools from the biggest and well known hypermarket (Carrefour-Villagio). for very urgent maintanace in my house; but after reaching home I realise it is incomplete paking (no attachment or blades on Cutter; and no bits in drill)...today morning I am approching them(I think they open only after 9AM)..I will let you all what is there responce wait till that;;;;and Hope they will consider me for lossing my time and money.,Irrelevant
have it or don't leave the house at all PERSONAL LOAN AND WORK TERMINATION,What are the things you must do or have before leaving your house??,I am currently working here in Qatar; our employer informed us that they will transfer to contractor with less salary; but we have option not to accept; but the problem is I have Personal Loan in one of the BAnk here in DOHA; what if I will not accept the offer; what will happen to me ; I mean did the BAnk will force to pay or not?,Irrelevant
have it or don't leave the house at all Park House School,What are the things you must do or have before leaving your house??,Does anyone out there have a child in this school? We are moving out next month and have a place at Park House for our 7yrs son. What is it like. Feedback please!!!!,Irrelevant
have it or don't leave the house at all Medical Exam on arrival in Doha,What are the things you must do or have before leaving your house??,Hi I have been told by my employer we all have to have a medical exam prior to commencing employment in Doha.....what does this involve - does anyone know? I have been told I can have mine the day I arrive and then start work 2 days after I am interested to know what exactly they test for! Anyone know? Is this a usual thing in Qatar? Thanks S,Irrelevant
have it or don't leave the house at all AFTER RESIGNATION BENIFITS AS PER QATAR LAW,What are the things you must do or have before leaving your house??,I AM WORKING IN QATAR ON LAST 6 YEARS; MY PRESENT SALARY 5000 QR; I WOULD LIKE TO RESIGN FROM MY JOB AND SETTLE BACK TO MY NATIV COUNTRY; CAN U PLEASE ADVISE ME WHAT KIND OF BENEFITS I CAN EXPECT ACCORDING TO QATAR LABOR LAW. (IS IT COMPANY CAN GIVE THE GRATUITY TOGETHER WITH MONTHLY SALARY IS IT ALLOW BY THE LAW HERE) IF I GO LEGAL ACTION AGAINST COMPANY ANY USE?? PLEASE ADVISE,Irrelevant
